Permission Name,API Name,Description
View All Users,ViewAllUsers,"View all users, regardless of sharing settings."
View Threat Detection Events,ViewAnomalyEvents,Allows user to view the threat detection events.
View Archived Articles,ViewArchivedArticles,Let users view archived articles.
Use Case Feed,ViewCaseInteraction,Use Case Feed to manage cases.
View External Client App Consumer Secrets in Metadata,ViewClientSecret,Allows users to view External Client App consumer secrets in Metadata API responses. Exercise caution when allowing users to access consumer secrets.
View Content in Portals,ViewContent,View Salesforce CRM Content from a portal.
View Content Taxonomy,ViewContentTaxonomy,"Allow users read-only access to content taxonomy in the UI, and objects with Salesforce APIs."
View Customer Insights,ViewCustomerSentiment,Access and gauge a customer's use of an Experience Cloud site. Make sure this type of data gathering complies with your company privacy policies.
Access to view Data Assessment,ViewDataAssessment,Access to view Data Assessment. Data Assessment provides a summary of the state and quality of the org's CRM data
View Data Categories in Setup,ViewDataCategories,View the Data Categories page.
View Real-Time Event Monitoring Data,ViewDataLeakageEvents,Query Real-Time Event Monitoring Data using the API.
View Developer Name,ViewDeveloperName,View the DeveloperName field via the API.
View Draft Articles,ViewDraftArticles,Let users view draft articles.
View Email Messaging Setup,ViewEmailMessagingSetup,View email objects in Setup.
View Enablement Analytics,ViewEnablementAnalytics,"View prebuilt reports and dashboards for Enablement programs and view progress for all users, including users outside your role hierarchy."
View Encrypted Data,ViewEncryptedData,View the value of encrypted fields in plain text.
View Event Log Files,ViewEventLogFiles,Get CSV event log files via the API.
View Flow Usage and Flow Event Data,ViewFlowUsageAndFlowEventData,Unsupported. Use the View Setup and Configuration permission to let users access flow usage data and flow standard platform event data.
Use Einstein Forecasting,ViewForecastingPredictive,See predictions about your sales team's opportunities based on past data.
View Global Header,ViewGlobalHeader,View the global header to switch between apps and Experience Cloud sites and access personal setup and customization options.
View Health Check,ViewHealthCheck,View Security Health Check Page
View Help Link,ViewHelpLink,Allow user to view help link.
Take In-App Guidance for Partners,ViewInAppGuidanceForSites,View and complete prompts and walkthroughs in supported Experience Cloud sites.
Allow users to view MLModels and related Entities,ViewMLModels,"Allow api read only access for Unified Model Tree for an AI Application, namely MLModels, MLModelFactors, MLModelMetrics, MLModelFactorComponents"
View My Team's Dashboards,ViewMyTeamsDashboards,View dashboards owned by people under them in the role hierarchy.
View Flows,ViewNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to view flows owned by or shared with them and open those flows in Flow Builder. Only users with the Manage Flow permission can view flows in Setup."
Access to View-Only Licensed Templates and Apps,ViewOnlyEmbeddedAppUser,View apps based on View-Only License.
View Orchestrations in Automation App,ViewOrchestrationsInAutomApp,"In Lightning Experience apps, allow users to view all orchestration runs, orchestration run-related details, and orchestration definitions, regardless of ownership or sharing settings. Only users who also have the Manage Flow permission can edit an orchestration definition or cancel, debug, suspend, or resume an orchestration run."
Use Payments or Access Payments,ViewPayments,Use the Payments app to access payments functions.
View Login Forensics Events,ViewPlatformEvents,Query Login Forensics events using the API.
View Private Static Resources,ViewPrivateStaticResources,View Static Resources with Cache Control set to Private. Enabled by default for all profiles except for guest user profiles.
View Product Catalog,ViewProductCatalogObjects,Provides read access to Product Catalog Management objects.
Lets users view promotions and their configurations.,ViewPromotions,Lets users view promotions and their configurations.
View Dashboards in Public Folders,ViewPublicDashboards,"View and access dashboards in public folders, which does not include others’ personal folders."
View Reports in Public Folders,ViewPublicReports,"View and access reports in public folders, which does not include others’ personal folders."
View Recommendations,ViewRecommendations,View Einstein Next Best Action Recommendation records for an Experience Cloud site user.
View Restriction and Scoping Rules,ViewRestrictionAndScopingRules,View Restriction and Scoping Rules.
View Roles and Role Hierarchy,ViewRoles,Allow user to view roles and role hierarchy.
View Service Appointment Lifecycle,ViewSALifecycle,View service appointment lifecycle objects.
View Security Center pages,ViewSecurityCommandCenter,View the Security Health Check page and the Security Center Dashboard page.
View Setup and Configuration,ViewSetup,View the App Setup and Administrative Settings pages.
View Trust Measures,ViewTrustMeasures,View trust measures in your org.
Access Marketing Calendar,ViewUMACalendar,Allows users to access the Marketing Calendar.
View Concealed Field Data,ViewUserPII,"View field data, such as sensitive or personally identifiable information, that is concealed from other users."
View Intelligent Forecasting Results,ViewWorkForecastingResult,View intelligent forecasting job results in Workforce Engagement.
View Shift Scheduling Results,ViewWorkScheduling,View shift scheduling results in Workforce Engagement.
Access Dialer Monitoring,VoiceCoach,Enables Monitoring for Voice Calls.
Access Dialer Inbound Calls,VoiceInbound,Receive inbound calls with Voice.
Access Dialer Minutes,VoiceMinutes,Add the minutes related to Voice calls.
Access Dialer Outbound Calls,VoiceOutbound,Make outbound calls with Voice.
View CRM Analytics on Experience Cloud site pages.,WaveCommunityUser,Can view shared CRM Analytics assets from within experiences.
Manage CRM Analytics Private Assets,WaveManagePrivateAssetsUser,Delete CRM Analytics datasets in other users' My Private Apps.
Download CRM Analytics Data,WaveTabularDownload,"Download data in tabular format from the CRM Analytics user interface. If the Subscribe to CRM Analytics Assets permission is granted, downloaded table data can be attached to subscription emails."
Trend Report Data in CRM Analytics,WaveTrendReports,Trend the data of a report with a CRM Analytics dataflow.
Enable WDC Calibration,WorkCalibrationUser,Allow WDC users to access WDC Calibration functionality.
Enable WDC,WorkDotComUserPerm,Allow WDC only users to access WDC functionality.
